epoch_idx,roi,theta_power,participant_id,condition,task
68,other,0.16074510026878308,sub-01,NS,eyesopen
69,other,0.19657153189878848,sub-01,NS,eyesopen
70,other,0.22683851453609918,sub-01,NS,eyesopen
71,other,0.1939098653519803,sub-01,NS,eyesopen
72,other,0.16103875789151026,sub-01,NS,eyesopen
73,other,0.1676817103067577,sub-01,NS,eyesopen
74,other,0.19753896277183633,sub-01,NS,eyesopen
0,frontal,0.05024413883709872,sub-01,SD,eyesclosed
1,frontal,0.22486797139392845,sub-01,SD,eyesclosed
2,frontal,0.3455711215232156,sub-01,SD,eyesclosed
3,frontal,0.2920146075892271,sub-01,SD,eyesclosed
4,frontal,0.2512574592007524,sub-01,SD,eyesclosed
5,frontal,0.4441920108022026,sub-01,SD,eyesclosed
6,frontal,0.32842657923517166,sub-01,SD,eyesclosed
7,frontal,0.16411241067736454,sub-01,SD,eyesclosed
8,frontal,0.3269697497346219,sub-01,SD,eyesclosed
9,frontal,0.26843312955169757,sub-01,SD,eyesclosed
10,frontal,0.3152712397150064,sub-01,SD,eyesclosed
11,frontal,0.35205937342728244,sub-01,SD,eyesclosed
12,frontal,0.26777464830539155,sub-01,SD,eyesclosed
13,frontal,0.2514546140575849,sub-01,SD,eyesclosed
14,frontal,0.4101145891593504,sub-01,SD,eyesclosed
